Loyalty Number,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed
100590,2018,6,12,15276,22914,0,0
100590,2018,7,12,9168,13752,0,0
100590,2018,5,4,6504,9756,0,0
100590,2018,10,0,0,0,512,92
100590,2018,2,0,0,0,0,0
100590,2018,4,0,0,0,0,0
100590,2018,3,0,0,0,0,0
100590,2018,8,0,0,0,0,0
100590,2018,9,0,0,0,0,0
100590,2018,11,0,0,0,0,0
100590,2018,12,0,0,0,0,0
102376,2018,6,24,21216,31824,0,0
102376,2018,12,15,16500,24750,556,100
102376,2018,7,12,25080,37620,0,0
102376,2018,8,12,6360,9540,0,0
102376,2018,9,6,7452,11178,0,0
102376,2018,5,4,2972,4458,0,0
102376,2018,2,0,0,0,0,0
102376,2018,3,0,0,0,0,0
102376,2018,4,0,0,0,0,0
102376,2018,10,0,0,0,0,0
102376,2018,11,0,0,0,0,0
102788,2018,7,20,24640,36960,0,0
102788,2018,5,16,27648,41472,0,0
102788,2018,8,16,28992,43488,0,0
102788,2018,12,15,28125,42187.5,0,0
102788,2018,9,6,8634,12951,0,0
102788,2018,3,5,9230,13845,0,0
102788,2018,10,4,5096,7644,0,0
102788,2018,11,2,3292,4938,0,0
102788,2018,2,0,0,0,0,0
102788,2018,4,0,0,0,0,0
102788,2018,6,0,0,0,0,0
104267,2018,5,16,32768,49152,0,0
104267,2018,12,9,14697,22045.5,0,0
104267,2018,6,8,6648,9972,0,0
104267,2018,4,3,3153,4729.5,0,0
104267,2018,11,2,4340,6510,0,0
104267,2018,2,0,0,0,0,0
104267,2018,3,0,0,0,0,0
104267,2018,7,0,0,0,0,0
104267,2018,8,0,0,0,0,0
104267,2018,9,0,0,0,0,0
104267,2018,10,0,0,0,0,0
105063,2018,6,12,18696,28044,0,0
105063,2018,11,8,11376,17064,0,0
105063,2018,5,4,4320,6480,0,0
105063,2018,4,3,6303,9454.5,0,0
105063,2018,2,0,0,0,0,0
105063,2018,3,0,0,0,0,0
105063,2018,7,0,0,0,0,0
105063,2018,8,0,0,0,0,0
105063,2018,9,0,0,0,0,0
105063,2018,10,0,0,0,0,0
105063,2018,12,0,0,0,0,0
105073,2018,7,20,10240,15360,0,0
105073,2018,12,9,6723,10084.5,0,0
105073,2018,5,8,12104,18156,0,0
105073,2018,6,4,3052,4578,0,0
105073,2018,9,4,6360,9540,0,0
105073,2018,10,4,2056,3084,0,0
105073,2018,4,3,3339,5008.5,0,0
105073,2018,2,0,0,0,0,0
105073,2018,3,0,0,0,0,0
105073,2018,8,0,0,0,0,0
105073,2018,11,0,0,0,0,0
105835,2018,6,12,7500,11250,0,0
105835,2018,10,8,10688,16032,0,0
105835,2018,11,6,10512,15768,0,0
105835,2018,5,4,8072,12108,0,0
105835,2018,12,3,2526,3789,0,0
105835,2018,9,2,2492,3738,0,0
105835,2018,2,0,0,0,0,0
105835,2018,3,0,0,0,0,0
105835,2018,4,0,0,0,0,0
105835,2018,7,0,0,0,0,0
105835,2018,8,0,0,0,0,0
105841,2018,6,24,33312,49968,0,0
105841,2018,7,20,29400,44100,522,94
105841,2018,12,9,8541,12811.5,0,0
105841,2018,9,8,13968,20952,0,0
105841,2018,11,6,9354,14031,0,0
105841,2018,2,3,5265,7897.5,0,0
105841,2018,4,2,4296,6444,0,0
105841,2018,3,1,1792,2688,0,0
105841,2018,5,0,0,0,0,0
105841,2018,8,0,0,0,0,0
105841,2018,10,0,0,0,0,0
106046,2018,6,20,45180,67770,0,0
106046,2018,12,9,14337,21505.5,396,71
106046,2018,9,8,18864,28296,0,0
106046,2018,7,4,5980,8970,0,0
106046,2018,8,4,9576,14364,0,0
106046,2018,10,2,3302,4953,0,0
106046,2018,4,1,1490,2235,547,98
106046,2018,2,0,0,0,0,0
106046,2018,3,0,0,0,0,0
106046,2018,5,0,0,0,0,0
106046,2018,11,0,0,0,0,0
107519,2018,5,16,23968,35952,0,0
107519,2018,7,16,25280,37920,0,0
107519,2018,8,12,13788,20682,0,0
107519,2018,9,6,10200,15300,0,0
107519,2018,10,6,14118,21177,0,0
107519,2018,4,4,6076,9114,0,0
107519,2018,3,1,1863,2794.5,501,90
107519,2018,2,0,0,0,0,0
107519,2018,6,0,0,0,0,0
107519,2018,11,0,0,0,0,0
107519,2018,12,0,0,0,0,0
110065,2018,7,28,65184,97776,0,0
110065,2018,5,20,22680,34020,0,0
110065,2018,6,16,10976,16464,0,0
110065,2018,12,12,11064,16596,0,0
110065,2018,9,8,12728,19092,0,0
110065,2018,11,6,6468,9702,0,0
110065,2018,8,4,7656,11484,0,0
110065,2018,10,2,2350,3525,0,0
110065,2018,4,1,1818,2727,0,0
110065,2018,2,0,0,0,0,0
110065,2018,3,0,0,0,0,0
110142,2018,6,20,37340,56010,0,0
110142,2018,7,20,21880,32820,0,0
110142,2018,8,16,26704,40056,0,0
110142,2018,5,8,7312,10968,0,0
110142,2018,3,5,5105,7657.5,0,0
110142,2018,10,4,8556,12834,0,0
110142,2018,2,0,0,0,0,0
110142,2018,4,0,0,0,334,60
110142,2018,9,0,0,0,0,0
110142,2018,11,0,0,0,0,0
110142,2018,12,0,0,0,0,0
110262,2018,5,16,28832,43248,0,0
110262,2018,12,15,23985,35977.5,0,0
110262,2018,11,6,9726,14589,0,0
110262,2018,6,4,7828,11742,451,81
110262,2018,10,2,4218,6327,0,0
110262,2018,2,1,658,987,0,0
110262,2018,4,1,1304,1956,357,64
110262,2018,3,0,0,0,0,0
110262,2018,7,0,0,0,0,0
110262,2018,8,0,0,0,0,0
110262,2018,9,0,0,0,0,0
112522,2018,7,20,35260,52890,0,0
112522,2018,5,8,9800,14700,0,0
112522,2018,9,6,3198,4797,0,0
112522,2018,8,4,2452,3678,0,0
112522,2018,4,3,7500,11250,0,0
112522,2018,12,3,5724,8586,0,0
112522,2018,3,2,2692,4038,0,0
112522,2018,10,2,1028,1542,0,0
112522,2018,11,2,1432,2148,0,0
112522,2018,2,0,0,0,0,0
112522,2018,6,0,0,0,0,0
113874,2018,7,20,47500,71250,0,0
113874,2018,12,9,19260,28890,0,0
113874,2018,3,4,2256,3384,0,0
113874,2018,5,4,2792,4188,0,0
113874,2018,4,3,4845,7267.5,0,0
113874,2018,11,2,2122,3183,0,0
113874,2018,2,0,0,0,0,0
113874,2018,6,0,0,0,0,0
113874,2018,8,0,0,0,0,0
113874,2018,9,0,0,0,0,0
113874,2018,10,0,0,0,0,0
114131,2018,6,16,22800,34200,0,0
114131,2018,8,12,25176,37764,0,0
114131,2018,12,9,13482,20223,0,0
114131,2018,10,8,17552,26328,0,0
114131,2018,9,2,3388,5082,0,0
114131,2018,11,2,2374,3561,0,0
114131,2018,5,0,0,0,440,79
114131,2018,2,0,0,0,0,0
114131,2018,3,0,0,0,0,0
114131,2018,4,0,0,0,0,0
114131,2018,7,0,0,0,0,0
115505,2018,6,20,49320,73980,0,0
115505,2018,11,4,7824,11736,0,0
115505,2018,10,2,2290,3435,0,0
115505,2018,2,0,0,0,0,0
115505,2018,3,0,0,0,0,0
115505,2018,4,0,0,0,0,0
115505,2018,5,0,0,0,0,0
115505,2018,7,0,0,0,0,0
115505,2018,8,0,0,0,0,0
115505,2018,9,0,0,0,0,0
115505,2018,12,0,0,0,0,0
116895,2018,8,20,24680,37020,0,0
116895,2018,5,12,6828,10242,0,0
116895,2018,11,4,8896,13344,0,0
116895,2018,10,2,4266,6399,0,0
116895,2018,2,0,0,0,0,0
116895,2018,12,0,0,0,497,89
116895,2018,3,0,0,0,0,0
116895,2018,4,0,0,0,0,0
116895,2018,6,0,0,0,0,0
116895,2018,7,0,0,0,0,0
116895,2018,9,0,0,0,0,0
117482,2018,8,20,14300,21450,0,0
117482,2018,6,16,14384,21576,511,92
117482,2018,7,12,13500,20250,0,0
117482,2018,12,12,13248,19872,0,0
117482,2018,5,8,15448,23172,0,0
117482,2018,11,6,7344,11016,0,0
117482,2018,4,3,4752,7128,0,0
117482,2018,2,1,1379,2068.5,0,0
117482,2018,3,0,0,0,0,0
117482,2018,9,0,0,0,0,0
117482,2018,10,0,0,0,0,0
117915,2018,8,24,49584,74376,0,0
117915,2018,7,16,39056,58584,0,0
117915,2018,5,12,7008,10512,0,0
